plot,Lat,Long,area,subsamples,area_m2,Last_fire_y_ago,collection_date,biome,nativeness,warning,delta15N,N_conc_g_kg,P_conc_mg_kg,abund,richness,mold_Eurotiales_Abundance,mold_Mortierellales_Abundance,mold_Mucorales_Abundance,mold_Trichoderma_Abundance,mold_Umbelopsidales_Abundance,
S532,20.2,-87.48,Mexico ,40,2500,100,09/09/2015,forest: subtropical broadleaf forest biome,,,1.563484805,22.70080935,16.71852843,3068,517,0.521512386,0.130378096,0.097783572,1.075619296,0,
S542,48.98,13.81,Czech Republic ,40,2500,100,16/09/2015,forest: temperate broadleaf forest biome,,molds_above_5SD_median,-0.894606151,11.59328133,38.17078228,5824,990,8.413461538,3.725961538,2.266483516,29.32692308,4.103708791,
S543,59.46,26.01,Estonia ,40,2500,100,26/09/2015,forest: temperate coniferous forest biome,,,-1.447387875,8.05530904,51.37238205,1749,371,3.773584906,3.430531732,0.171526587,0.457404231,26.01486564,
S544,59.42,26.14,Estonia ,40,2500,100,26/09/2015,anthropogenic: village biome,,,4.673956689,4.960891626,255.4116064,1257,408,0.318217979,7.716785998,0.079554495,0.15910899,0,
S545,59.57,26.27,Estonia ,40,2500,100,26/09/2015,forest: temperate coniferous forest biome,,molds_above_5SD_median,-2.747020291,15.4296536,142.4495733,2816,472,68.60795455,0.071022727,0.142045455,1.065340909,3.622159091,
S546,59.5,26.31,Estonia ,40,2500,100,26/09/2015,forest: temperate broadleaf forest biome,,,1.833847597,5.789789341,245.9358429,2886,694,0,5.613305613,0.866250866,0.242550243,0.346500347,
S547,59.39,26.38,Estonia ,40,2500,100,26/09/2015,anthropogenic: village biome,,,3.79715722,4.219716807,38.30830275,1170,535,0.854700855,10.51282051,0.085470085,0.427350427,0,
S548,59.04,26.74,Estonia ,40,2500,100,18/10/2015,forest: temperate broadleaf forest biome,,,-2.394831668,18.31881382,105.5741796,1706,498,0.527549824,10.14067995,0.117233294,0.41031653,2.696365768,
S549,59.28,26.35,Estonia ,40,2500,100,17/10/2015,forest: temperate broadleaf forest biome,,,0.486158906,4.940887127,12.10679181,1609,470,0.124300808,2.734617775,0.248601616,0.186451212,0,
S550,57.55,26.56,Estonia ,40,2500,100,13/09/2015,anthropogenic: village biome,,,1.383440781,3.163073049,45.43750557,1504,376,0,2.72606383,0,0,0,
S551,59.28,26.25,Estonia ,40,2500,100,11/10/2015,woodland: woodland: temperate woodland biome,,,2.043638695,3.720109078,18.66039511,1146,513,0,7.853403141,0.698080279,0.087260035,0,
S552,58.97,26.6,Estonia ,40,2500,100,18/10/2015,forest: temperate broadleaf forest biome,,,-0.792971884,12.86312253,51.50906064,2114,691,0.04730369,5.203405866,0.094607379,0.378429518,0.756859035,
S553,59.3,26.25,Estonia ,40,2500,100,20/09/2015,forest: temperate broadleaf forest biome,,,-0.081391082,3.791525897,17.26610169,1154,449,0.259965338,4.506065858,0,0,0.086655113,
S554,59.32,26.26,Estonia ,40,2500,100,20/09/2015,woodland: woodland: temperate woodland biome,,,0.778185245,4.293137258,33.78162484,2068,723,0.048355899,8.462282398,0.241779497,0.435203095,1.982591876,
S556,59.2,26.16,Estonia ,40,2500,100,06/09/2015,forest: temperate broadleaf forest biome,,,-0.499312249,2.479592164,15.48209632,1323,478,0.15117158,5.291005291,0,0.15117158,0.22675737,
S557,59.1,26.53,Estonia ,40,2500,100,11/10/2015,anthropogenic: village biome,,,1.511503594,4.476603694,152.6455491,2994,791,0.300601202,10.42084168,0.233800935,0.634602538,0,
S558,59.34,26.35,Estonia ,40,2500,100,26/09/2015,anthropogenic: urban biome,,,-0.293856581,6.904508521,156.5194519,2145,534,0.093240093,3.962703963,0.27972028,0.093240093,0,
S559,59.14,26.16,Estonia ,40,2500,100,06/09/2015,forest: temperate broadleaf forest biome,,,0.394737196,5.833283958,11.05028278,1525,436,0.196721311,3.672131148,0.196721311,0.06557377,0,
S560,58.99,26.34,Estonia ,40,2500,100,09/10/2015,forest: temperate broadleaf forest biome,,,-0.713290971,12.00806298,21.95839907,1652,449,0.181598063,2.905569007,0.121065375,0.181598063,0.060532688,
S561,59.17,26.07,Estonia ,40,2500,100,06/09/2015,woodland: woodland: temperate woodland biome,,,1.295217945,6.040444133,15.36451251,1545,489,1.42394822,3.948220065,0.064724919,0,0.258899676,
S562,59.12,26.32,Estonia ,40,2500,100,17/10/2015,forest: temperate broadleaf forest biome,,,-2.788466227,5.069263562,44.4786386,3726,656,0.214707461,10.2791197,0.080515298,0.375738057,3.623188406,
S563,59.21,26.32,Estonia ,40,2500,100,30/07/2015,forest: temperate broadleaf forest biome,,,0.665928006,5.693645903,6.342735849,2245,581,0.846325167,2.138084633,0.08908686,0.08908686,0.267260579,
S564,59.21,26.39,Estonia ,40,2500,100,30/07/2015,forest: temperate broadleaf forest biome,,,0.26539886,3.227651512,7.756014981,86,73,0,5.813953488,0,0,0,
S565,59.29,26.43,Estonia ,40,2500,100,17/10/2015,forest: temperate broadleaf forest biome,,,0.518918586,3.628917764,24.4591342,2552,657,0.901253918,7.445141066,0.078369906,0.235109718,0.039184953,
S566,59.21,26.43,Estonia ,40,2500,100,30/07/2015,woodland: woodland: temperate woodland biome,,,0.724068545,4.983168768,12.10011849,2597,822,0.808625337,5.467847516,0.269541779,0.577589526,0.115517905,
S568,59.26,26.43,Estonia ,40,2500,100,30/07/2015,woodland: woodland: temperate woodland biome,,,0.70746968,3.863204812,7.763597561,5317,818,0.319729171,1.824337032,0.244498778,0.075230393,0.018807598,
S569,58.38,22.21,Estonia ,40,2500,100,25/09/2015,forest: temperate broadleaf forest biome,,,0.642189313,8.941044484,7.803316498,1528,501,3.795811518,2.945026178,0.261780105,0.85078534,1.636125654,
S570,58.48,22.95,Estonia ,40,2500,100,27/09/2015,forest: temperate broadleaf forest biome,,,0.528926231,27.94459555,86.53047141,888,284,5.067567568,7.31981982,0.112612613,0.900900901,2.027027027,
S571,58.37,22.2,Estonia ,40,2500,100,25/09/2015,forest: temperate broadleaf forest biome,,molds_above_5SD_median,1.265421147,7.103834904,14.6119607,1959,406,70.75038285,0.357325166,0.204185809,0.45941807,0.306278714,
S572,58.49,22.22,Estonia ,40,2500,100,25/09/2015,forest: temperate broadleaf forest biome,,,0.533799716,6.938392539,8.486250678,1924,601,7.9002079,1.351351351,0.155925156,2.027027027,3.378378378,
S573,58.44,22.04,Estonia ,40,2500,100,25/09/2015,forest: temperate coniferous forest biome,,,2.20172437,9.085282325,35.13736991,1117,415,2.954341987,2.327663384,0.268576544,0.358102059,1.969561325,
S574,58.47,22.31,Estonia ,40,2500,100,25/09/2015,anthropogenic: village biome,,,4.088060534,2.433468707,151.6195305,1524,496,0.918635171,5.839895013,0.065616798,0,0.918635171,
S575,57.53,26.51,Estonia ,40,2500,100,14/09/2015,forest: temperate coniferous forest biome,,,-1.872722689,7.507490909,28.70944993,1329,25,0,0,0,0,0,
S576,57.54,26.59,Latvia ,40,2500,100,14/09/2015,anthropogenic: village biome,,,6.820715617,2.949988924,258.0614673,1165,482,0.343347639,12.87553648,0.08583691,0.343347639,0.08583691,
S577,58.03,26.4,Estonia ,40,2500,100,11/09/2015,forest: temperate coniferous forest biome,,,-0.844073826,2.578150437,4.626112171,1324,469,0.377643505,14.65256798,0.075528701,0.377643505,3.172205438,
S578,57.58,26.65,Estonia ,40,2500,100,14/09/2015,forest: temperate broadleaf forest biome,,,-0.992338085,3.658361485,10.29025907,1572,638,1.399491094,5.470737913,0.063613232,0.381679389,3.880407125,
S579,57.57,26.67,Estonia ,40,2500,100,14/09/2015,anthropogenic: village biome,,,1.400976029,4.085727115,32.80950741,1613,549,0.867947923,3.843769374,0.06199628,0.557966522,0,
S580,58.28,24.73,Estonia ,40,2500,100,15/11/2015,forest: temperate coniferous forest biome,,,-1.270609332,17.0046735,55.89377049,2003,498,1.747378932,7.638542187,0.399400899,0.149775337,2.795806291,
S581,58.31,24.69,Estonia ,40,2500,100,15/11/2015,anthropogenic: village biome,,,1.643497036,4.432984446,12.88205128,2451,688,0.57119543,4.97756018,0.081599347,0.081599347,0,
S582,58.34,24.66,Estonia ,40,2500,100,16/11/2015,forest: temperate coniferous forest biome,,,1.636243935,8.72423836,21.72255196,1362,462,0.587371512,10.05873715,0,0,0.146842878,
S583,58.33,27.19,Estonia ,40,2500,100,04/10/2015,forest: temperate broadleaf forest biome,,,-0.413409566,14.22592929,85.59501851,1258,535,15.3418124,6.518282989,0.238473768,0.556438792,11.84419714,
S584,59.18,24.56,Estonia ,40,2500,100,17/09/2015,forest: temperate broadleaf forest biome,,molds_above_5SD_median,0.816628965,3.480974748,7.515224831,1481,446,59.21674544,0.337609723,1.215395003,0.607697502,0.405131668,
S585,59.14,24.23,Estonia ,40,2500,100,17/09/2015,forest: temperate coniferous forest biome,,,0.142990509,6.472347284,14.49517557,1530,381,53.1372549,0.196078431,0.392156863,0.522875817,7.516339869,
S586,59.02,24.41,Estonia ,40,2500,100,18/09/2015,forest: temperate broadleaf forest biome,,,1.410936021,4.614503708,2.651296386,2186,643,21.36322049,1.875571821,0.274473925,0.731930467,1.418115279,
S587,59.02,24.38,Estonia ,40,2500,100,18/09/2015,anthropogenic: village biome,,,3.564730819,4.513160453,74.32173608,1241,451,2.497985496,4.109589041,0,0,0,
S588,59.08,24.31,Estonia ,40,2500,100,18/09/2015,forest: temperate broadleaf forest biome,,,2.433654833,9.371554774,37.08318654,2366,584,0.126796281,3.508030431,0.126796281,0,0,
S589,59.1,24.34,Estonia ,40,2500,100,19/09/2015,forest: temperate broadleaf forest biome,,,0.860362469,9.601330896,17.27628442,9682,1664,0.309853336,4.23466226,0.165255113,0.247882669,0.516422227,
S590,59.02,24.28,Estonia ,40,2500,100,20/09/2015,forest: temperate broadleaf forest biome,,,1.811038494,6.846690654,1.375346208,1516,476,2.044854881,1.978891821,0.065963061,0.791556728,0.131926121,
S591,59.04,24.51,Estonia ,40,2500,100,20/09/2015,forest: temperate coniferous forest biome,,,1.143790508,4.912626351,0.991933702,3241,751,14.71767973,2.344955261,0.061709349,0.339401419,2.005553841,
S593,58.47,26.73,Estonia ,40,2500,100,05/12/2015,woodland: woodland: temperate woodland biome,,,4.723049363,4.16252242,133.1019972,2668,912,0.862068966,18.44077961,0.299850075,0.374812594,0,
S594,57.56,26.54,Estonia ,40,2500,100,13/09/2015,forest: temperate broadleaf forest biome,,,-0.661272869,1.293740625,2.721917255,3276,734,0.702075702,6.837606838,0.183150183,0.610500611,2.167277167,
S595,58.03,26.48,Estonia ,40,2500,100,12/09/2015,forest: temperate broadleaf forest biome,,,-0.037179963,2.010447716,4.473630832,422,254,0,10.42654028,0.473933649,0,6.398104265,
S596,47.21,-88.62,USA ,40,2500,100,28/09/2015,forest: temperate broadleaf forest biome,,,0.281960514,7.363415842,32.56537102,7209,1242,0.180330143,2.524622,0.110972396,0.069357747,0,
S597,46.57,-88.28,USA ,40,2500,100,03/10/2015,forest: temperate coniferous forest biome,,,0.341540113,5.995606744,28.56737705,8707,1418,0.022970024,2.159182267,0.436430458,0.160790169,0.907315953,
S598,47.1,-88.55,USA ,40,2500,100,29/09/2015,forest: temperate broadleaf forest biome,,,2.961922052,5.322533794,1.571235849,6905,1284,0.448950036,4.083997104,0.405503259,0.057929037,0.448950036,
S599,35.56,72.21,Pakistan ,40,2500,100,02/09/2015,forest: temperate broadleaf forest biome,,,3.466285744,6.898132261,109.8383987,6811,1169,0.16150345,11.76038761,0.425781824,0.058728527,0.058728527,
S600,35.46,72.24,Pakistan ,40,2500,100,03/09/2015,forest: temperate broadleaf forest biome,,,2.827350876,2.519048766,6.472758294,7007,1275,0.899100899,5.62294848,0.085628657,0.0999001,0.014271443,
S601,34.98,72.32,Pakistan ,40,2500,100,13/08/2015,forest: temperate broadleaf forest biome,,,-0.185456041,3.132725203,13.82901682,1153,31,0,0,0,0,0,
S602,35.46,72.24,Pakistan ,40,2500,100,04/09/2015,forest: temperate coniferous forest biome,,,0.70052082,1.238590617,3.029725331,4650,963,3.010752688,2.107526882,0.129032258,0.408602151,0.731182796,
S603,35.51,72.6,Pakistan ,40,2500,100,14/08/2015,forest: temperate broadleaf forest biome,,,1.101984418,9.693736704,446.1612613,9064,1521,0.706090026,4.578552515,0.187555163,0.319947043,0.011032657,
S604,35.5,72.6,Pakistan ,40,2500,100,14/08/2015,forest: temperate coniferous forest biome,,,0.267370018,4.150917915,106.450258,2808,504,6.196581197,2.635327635,0.178062678,0.320512821,0.747863248,
S605,32.8,77.12,India ,40,2500,100,21/08/2015,grassland: montane grassland biome,,,1.810987454,2.328173595,11.93331948,5164,832,1.800929512,5.867544539,0,0,0,
S606,32.8,77.12,India ,40,2500,100,21/08/2015,grassland: montane grassland biome,,,2.242867873,3.182009973,12.08529172,4150,653,35.20481928,4.072289157,0,0,0,
S607,32.91,77.2,India ,40,2500,100,23/08/2015,desert: montane desert biome,,contamination_risk,3.602449608,0.576506583,15.44085064,5911,611,0.27068178,2.436136018,0.253764168,0.067670445,0.236846557,
S608,32.91,77.2,India ,40,2500,100,23/08/2015,desert: montane desert biome,,,3.199955967,0.500837084,14.26623134,2036,364,3.241650295,1.129666012,0,0,0.589390963,
S609,34.42,76.28,India ,40,2500,100,28/08/2015,grassland: montane grassland biome,,,2.683912344,1.486493319,8.953891336,3923,451,0.356869743,0.509813918,0.076472088,0,0,
