Country,LONG,LAT,Point_ID,NUTS_1,NUTS_2,NUTS_3,P,N,K,CaCO3,pH_CaCl2,pH_H20,EC,OC,Land Cover,Land Description,Land Use,Revisited_point,Soil_Stones
Sweden,22.693814015,67.266656875,48704956,SE3,SE33,SE332,70.3,21.6,271.5,0,3.4,4.47,17.17,527.0,Woodland,Pine dominated mixed woodland,FORESTRY,Yes,1
Sweden,13.880493608,58.739888352,45463966,SE2,SE23,SE232,51.4,18.1,274.9,0,3.2,4.19,36.3,401.8,Grassland,Grassland with sparse tree/shrub cover,FORESTRY,Yes,4
Sweden,23.75063534,66.558452537,49324888,SE3,SE33,SE332,19.3,0.9,24.9,0,3.6,4.34,2.69,23.5,Shrubland,Shrubland with sparse tree cover,FORESTRY,Yes,4
Sweden,11.46570195,58.751179209,44063962,SE2,SE23,SE232,42.4,9.0,100.1,0,3.0,4.2,26.0,210.3,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,15.449771384,64.521774524,45844612,SE3,SE32,SE322,17.4,1.6,21.7,0,3.9,4.2,24.3,21.8,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,4
Sweden,16.317872439,63.946219609,46324552,SE3,SE32,SE322,52.2,1.1,31.2,0,3.4,3.96,4.1,22.8,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,3
Sweden,14.767532963,64.416911864,45524598,SE3,SE32,SE322,19.0,1.3,53.8,0,3.3,4.07,3.73,27.7,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,3
Sweden,14.4411054,64.444421146,45364600,SE3,SE32,SE322,16.9,12.6,76.9,1,4.6,5.19,11.72,209.0,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,11.578084928,58.174231151,44143898,SE2,SE23,SE232,36.9,9.2,206.2,0,3.5,4.55,42.3,187.8,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,20.69100788,66.961327574,47904908,SE3,SE33,SE332,34.4,28.9,72.8,0,3.3,4.27,17.85,478.6,Wetlands,Peatbogs,Semi-natural and natural areas not in use,Yes,1
Sweden,11.633117481,58.6413258,44163950,SE2,SE23,SE232,134.4,21.1,517.2,0,3.7,4.77,94.3,376.7,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,23.336264007,67.753493117,48865014,SE3,SE33,SE332,23.4,1.1,17.2,0,4.1,4.46,5.06,21.4,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,2
Sweden,11.365034902,58.824189055,44003970,SE2,SE23,SE232,15.0,1.9,36.1,0,3.2,3.96,7.98,45.9,Woodland,Pine dominated mixed woodland,FORESTRY,Yes,1
