Country,LONG,LAT,Point_ID,PTotal
Slovakia,18.219750000362296,48.60345999957934,49262866,893.95
Poland,18.448830000104465,49.94249000001355,49263016,342.69
Poland,18.607360000163908,50.81677000013548,49263114,430.38
Poland,18.704710000066484,51.333900000384745,49263172,334.08
Poland,18.797819999593344,51.81524000042572,49263226,302.1
Poland,18.80831999996809,51.86871000026633,49263232,401.58
Poland,18.925840000115954,52.45678999975871,49263298,167.28
Sweden,23.25686500041951,65.8796629998476,49264810,584.46
Italy,16.976810000181388,39.01936999972577,49281798,462.24
Italy,16.993990000138467,39.18173999970128,49281816,639.09
Italy,17.15829000008347,40.67747999990212,49281982,536.78
Italy,17.172359999614343,40.80339000024839,49281996,705.09
Hungary,17.843949000146267,46.00859200042055,49282576,576.25
Hungary,17.90979999987013,46.45607999969229,49282626,1069.58
Slovakia,18.18511999968831,48.22627999962236,49282824,685.45
Slovakia,18.21725000018739,48.42281999974324,49282846,482.17
Poland,18.66893999988116,50.99299000028833,49283134,472.03
Poland,18.847729999839657,51.92000000029981,49283238,338.22
Poland,19.11910000006497,53.238009999961605,49283386,626.21
Finland,21.65948000010195,62.15781999999308,49284390,412.83
Sweden,23.539431999886915,66.33585000007747,49284862,323.99
Italy,17.030420000182914,39.30631999986815,49301830,701.16
Hungary,17.85398399976185,45.899281000218025,49302564,466.07
Hungary,18.000510000236375,46.86590000028485,49302672,686.09
Slovakia,18.180000000099994,48.02771999987817,49302802,724.35
Slovakia,18.28558999957886,48.67091000019639,49302874,582.2
Slovakia,18.306579999867157,48.7960300000845,49302888,436.81
Slovakia,18.333699999555392,48.956710000366286,49302906,903.99
Slovakia,18.367080000141925,49.15303999979619,49302928,422.06
Czech Republic,18.416389999698765,49.43867999978221,49302960,148.98
Poland,18.73789000042325,51.20468000028183,49303158,211.38
Poland,18.862509999736744,51.84654000042076,49303230,305.67
Poland,18.90145000041724,52.04257000040525,49303252,251.57
Poland,18.96611999963829,52.363290000233405,49303288,291.11
Poland,19.05787000030034,52.808619999813175,49303338,819.68
Poland,19.16716000043374,53.325090000203375,49303396,1061.35
Poland,19.299599999740224,53.93040999972175,49303464,540.8
Finland,21.82724000042572,62.49161000000157,49304428,710.45
Finland,22.112041000391912,63.20030999960687,49304508,133.07
Sweden,23.63024200036807,66.42069199963612,49304872,939.55
Hungary,17.94555000003254,46.34485999958935,49322614,1477.08
Hungary,18.067859999839182,47.14982000009297,49322704,499.34
Slovakia,18.382089999853637,49.07957999991714,49322920,651.97
Czech Republic,18.475000000049988,49.615100000164944,49322980,393.43
Poland,18.708750000212376,50.89956999995559,49323124,355.44
Poland,19.024500000174896,52.50358999957888,49323304,185.08
Poland,19.15881000028133,53.144780000296805,49323376,441.69
Finland,21.714639999636347,62.09868000038176,49324384,1200.46
Sweden,23.75064699955942,66.55846600030571,49324888,1787.56
Italy,17.04735999986417,39.03243000034428,49341800,445.14
Italy,17.064720000028046,39.194760000273845,49341818,576.26
Italy,17.082220000352777,39.35707000018044,49341836,481.32
Italy,17.25767999963233,40.92424000017593,49342010,583.8
Hungary,17.982089999753725,46.41449000001353,49342622,799.88
Hungary,18.1389199996583,47.433940000130974,49342736,554.07
Slovakia,18.22753999987117,47.98798999963884,49342798,584.78
Slovakia,18.28014999962284,48.30958999957886,49342834,551.86
Slovakia,18.306720000028008,48.47038000043671,49342852,1108.87
Slovakia,18.321640000086006,48.559670000070525,49342862,2555.2
Slovakia,18.3336000003398,48.63111999988814,49342870,483.05
Slovakia,18.375800000269862,48.88112999984969,49342898,613.93
Slovakia,18.39403999964634,48.98826000019892,49342910,362.05
Slovakia,18.430850000127464,49.20251999999806,49342934,436.02
Poland,18.61450000027486,50.23757999961737,49343050,428.35
Poland,18.83260999955189,51.39659999959037,49343180,617.66
Poland,18.85692999961981,51.52139000044821,49343194,275.29
Poland,18.89544000025586,51.71742000043275,49343216,223.05
Poland,18.970159999784187,52.091619999663294,49343258,349.88
Poland,19.00264000023589,52.2519599995544,49343276,333.88
Poland,19.02446999969078,52.35884999962781,49343288,333.73
Poland,19.068489999913595,52.57260999975176,49343312,286.72
Poland,19.273260000048992,53.53415999988414,49343420,219.8
Poland,19.296709999566872,53.64100000034978,49343432,520.16
Finland,21.63836000011395,61.79433999959139,49344350,261.53
Finland,21.90343999985617,62.485550000232365,49344428,116.79
Finland,21.93139000004851,62.556420000282856,49344436,1688.43
Finland,22.059170000295357,62.87533000027935,49344472,821.74
Finland,22.13872999998955,63.07023999987615,49344494,851.15
Sweden,23.49191000004652,65.98957699997862,49344824,260.58
Sweden,23.80417999960736,66.57260000009,49344890,1071.85
Poland,19.006290000383277,52.12502999983468,49363262,255.61
Poland,19.2759599995544,53.407259999749215,49363406,404.8
Poland,19.34649000011348,53.72766999967081,49363442,580.24
Finland,21.97605000010748,62.57116000013394,49364438,836.4
Finland,22.14835000025238,62.99622999981472,49364486,900.93
Finland,22.208840000066004,63.1378200001929,49364502,623.99
Finland,22.21417999990712,63.15559999994008,49364504,488.8
Finland,22.236289999683777,63.20888000001207,49364510,943.76
Sweden,23.47034800035999,65.86241200021368,49364810,925.67
Italy,17.2818000003698,40.72281000028136,49381988,753.63
Italy,17.300560000343808,40.88481999984316,49382006,795.6
Hungary,18.033815000062248,46.41062099965944,49382622,800.08
Hungary,18.10759000007852,46.89357000015542,49382676,561.79
Hungary,18.13815000012244,47.09028000002206,49382698,1117.58
Slovakia,18.42106999968081,48.82341000007148,49382892,476.89
